Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
1086,2017-01-20,ethosh,Technology,Data Analytics Platform,pune,deepak nathani,seed funding,
1087,2017-01-20,wydr,E-commerce,Online Pharmacy,gurgaon,"bessemer venture partners, stellaris venture partners, jungle venture partners, a capital",private equity,
1088,2017-01-20,tyre express,Technology,Data Analytics Platform,mumbai,ivycamp ventures,seed funding,
1089,2017-01-20,connaizen,Technology,Data Analytics Platform,delhi,umang moondra,seed funding,
1090,2017-01-22,messagif,Consumer Internet,Online Lending Platform,delhi,undisclosed investor,seed funding,0.43
1091,2017-01-23,smarthi,Technology,Data Analytics Platform,pune,singapore based investor,seed funding,
1092,2017-01-23,cron systems,Technology,Data Analytics Platform,delhi,yournest fund ii,seed funding,
1093,2017-01-23,cuemath,Technology,Data Analytics Platform,delhi,"capitalg, sequoia india",private equity,129.9
1094,2017-01-23,chippersage,Technology,Data Analytics Platform,bangalore,india educational investment fund,seed funding,
1095,2017-01-24,selectjobs,Consumer Internet,Online Lending Platform,mumbai,india educational investment fund,seed funding,
1096,2017-01-24,khel now,Consumer Internet,Online Lending Platform,bangalore,indochine international,private equity,4.33
1097,2017-01-24,nowfloats,Consumer Internet,Online Lending Platform,hyderabad,"iron pillar and iifl, blume ventures, omidyar network",private equity,86.6
1098,2017-01-24,lets transport,Consumer Internet,Online Lending Platform,bangalore,"gmo japan, neelesh bhatnagar",private equity,34.64
1099,2017-01-24,betaout,Technology,Data Analytics Platform,noida,east ventures & others,private equity,
1100,2017-01-25,wishberry,Consumer Internet,Online Lending Platform,mumbai,"sharad sharma, rajan anandan, amit ranjan, alok mittal & others",seed funding,
1101,2017-01-25,rml agtech,Technology,Data Analytics Platform,pune,ivycap ventures,private equity,34.64
1102,2017-01-25,loyaltyprime,Technology,Data Analytics Platform,delhi,"senovo, unternehmertum venture capital, ale bruehl",private equity,
1103,2017-01-25,instasafe,Technology,Data Analytics Platform,bangalore,abm knowledgeware,private equity,19.05
1104,2017-01-25,infibeam,E-commerce,Online Pharmacy,ahmedabad,"bennett, coleman and company ltd",private equity,76.21
1105,2017-01-02,99games,Technology,Data Analytics Platform,udupi,dream incubator,seed funding,
1106,2017-01-26,airmed labs,Consumer Internet,Online Lending Platform,ahmedabad,brand capital,private equity,12.12
1107,2017-01-26,99perhour,Consumer Internet,Online Lending Platform,chennai,v aanand r,seed funding,2.6
1108,2017-01-26,kochi post,Consumer Internet,Online Lending Platform,kochi,"rajesh yohannan, puthen & cole",seed funding,
1109,2017-01-30,intuit things,Technology,Data Analytics Platform,mumbai,sanjay mehta & others ( the ten minute million),seed funding,0.92
1110,2017-01-30,cloudrino,Technology,Data Analytics Platform,delhi,the ten minute million,seed funding,0.19
1111,2017-01-30,fabx,E-commerce,Online Pharmacy,mumbai,the ten minute million,seed funding,0.59
